kode_rombel,nama_rombel,jurusan,angkatan
INT 24,Sains Data INT 24,Sains Data,2024
2024 A,Sains Data 2024 A,Sains Data,2024
2024 B,Sains Data 2024 B,Sains Data,2024
2024 C,Sains Data 2024 C,Sains Data,2024
2024 D,Sains Data 2024 D,Sains Data,2024
2024 E,Sains Data 2024 E,Sains Data,2024
INT 25,Sains Data INT 25,Sains Data,2025
2025 A,Sains Data 2025 A,Sains Data,2025
2025 B,Sains Data 2025 B,Sains Data,2025
2025 C,Sains Data 2025 C,Sains Data,2025
2025 D,Sains Data 2025 D,Sains Data,2025
2025 E,Sains Data 2025 E,Sains Data,2025
2025 F,Sains Data 2025 F,Sains Data,2025
2025 G,Sains Data 2025 G,Sains Data,2025
